,Hits@1,Hits@3,MRR
DistMult_dim=256,0.46480541455160745,0.5639593908629441,0.536145031452179
DistMult_dim=64,0.41398759165256627,0.5258319232938522,0.49401214718818665
DistMult_margin=0.5,0.4087422447828539,0.5223914269599549,0.48903265595436096
DistMult_neg=1,0.3999435984207558,0.5125211505922166,0.48005539178848267
DistMult,0.3999435984207558,0.5125211505922166,0.48005539178848267
DistMult_margin=1.0,0.3999435984207558,0.5125211505922166,0.48005539178848267
DistMult_margin=2.0,0.38025944726452343,0.48877608573040043,0.4596385657787323
DistMult_neg=10,0.36852791878172586,0.48076706147772136,0.4498143792152405
DistMult_neg=100,0.3596164692611393,0.47140439932318107,0.4425894320011139
TransE,0.0,0.19379582628313594,0.1357426792383194
DistMult_dim=16,0.026395939086294416,0.062887760857304,0.06589186191558838
TransH,0.002763677382966723,0.010603496897913142,0.017173338681459427
ComplEx,0.00011280315848843768,0.00033840947546531303,0.0043692821636796
